X;Force
 M;Newtons
15,6331;14,714
15,6431;14,912
15,6531;14,619
15,663;16,085
15,673;17,817
15,683;18,192
15,693;18,294
15,7029;18,39
15,7129;18,07
15,7229;17,013
15,7328;15,307
15,7428;14,755
15,7528;14,428
15,7627;14,087
15,7727;13,418
15,7827;12,484
15,7927;12,144
15,8026;11,761
15,8126;11,147
15,8226;10,861
15,8325;13,16
15,8425;16,433
15,8525;17,578
15,8624;15,655
15,8724;15,498
15,8824;16,18
15,8924;17,824
15,9023;19,822
15,9123;20,538
15,9223;19,891
15,9322;18,908
15,9422;17,108
15,9522;16,31
15,9621;15,901
15,9721;15,124
15,9821;15,969
15,9921;16,958
16,002;16,617
16,012;15,669
16,022;15,376
16,0319;15
16,0419;14,244
16,0519;14,674
16,0618;14,393
16,0718;13,391
16,0818;13,016
16,0918;13,016
16,1017;13,657
16,1117;15,307
16,1217;18,001
16,1316;19,427
16,1416;19,249
16,1516;19,741
16,1615;18,71
16,1715;15,942
16,1815;13,527
16,1915;13,855
16,2014;15,99
16,2114;16,992
16,2214;15,907
16,2313;14,707
16,2413;15,942
16,2513;19,815
16,2612;19,774
16,2712;18,397
16,2812;17,606
16,2912;17,237
16,3011;17,449
16,3111;16,747
16,3211;15,048
16,331;13,657
16,341;13,971
16,351;16,099
16,361;16,747
16,3709;16,678
16,3809;17,401
16,3909;18,54
16,4008;19,201
16,4108;19,536
16,4208;19,529
16,4307;17,511
16,4407;15,697
16,4507;15,444
16,4607;16,105
16,4706;16,754
16,4806;17,333
16,4906;18,977
16,5005;22,291
16,5105;23,777
16,5205;21,057
16,5304;17,987
16,5404;17,497
16,5504;15,655
16,5604;15,26
16,5703;16,249
16,5803;15,396
16,5903;14,094
16,6002;13,644
16,6102;14,564
16,6202;17,047
16,6301;18,649
16,6401;19,338
16,6501;20,872
16,6601;20,293
16,67;18,281
16,68;17,101
16,69;15,137
16,6999;13,48
16,7099;12,703
16,7199;11,884
16,7298;11,373
16,7398;13,111
16,7498;15,45
16,7598;15,874
16,7697;14,257
16,7797;13,194
16,7897;12,751
16,7996;13,282
16,8096;15,028
16,8196;16,747
16,8295;17,606
16,8395;18,349
16,8495;18,853
16,8595;17,64
16,8694;15,88
16,8794;14,748
16,8894;14,755
16,8993;15,778
16,9093;18,104
16,9193;16,317
16,9292;14,796
16,9392;15,976
16,9492;17,169
16,9592;18,117
16,9691;19,529
16,9791;20,422
16,9891;20,6
16,999;19,693
17,009;16,487
17,019;14,633
17,0289;13,937
17,0389;13,18
17,0489;12,075
17,0589;11,809
17,0688;12,88
17,0788;13,827
17,0888;13,384
17,0987;12,887
17,1087;13,52
17,1187;12,901
17,1286;13,78
17,1386;16,754
17,1486;19,331
17,1586;18,751
17,1685;16,562
17,1785;14,141
17,1885;13,548
17,1984;16,419
17,2084;21,193
17,2184;19,986
17,2283;15,676
17,2383;14,857
17,2483;16,304
17,2583;15,997
17,2682;15,607
17,2782;17,79
17,2882;20,49
17,2981;22,352
17,3081;24,303
17,3181;23,068
17,3281;21,561
17,338;18,956
17,348;15,914
17,358;14,094
17,3679;13,453
17,3779;13,67
17,3879;14,584
17,3978;15,083
17,4078;13,644
17,4178;12,082
17,4278;11,741
17,4377;13,596
17,4477;12,716
17,4577;13,412
17,4676;14,646
17,4776;15,464
17,4876;16,18
17,4975;16,773
17,5075;17,879
17,5175;18,813
17,5275;16,147
17,5374;16,262
17,5474;17,96
17,5574;18,888
17,5673;19,453
17,5773;19,917
17,5873;21,875
17,5972;19,324
17,6072;13,841
17,6172;13,541
17,6272;16,357
17,6371;18,22
17,6471;19,317
17,6571;20,129
17,667;20,395
17,677;20,143
17,687;19,249
17,6969;18,847
17,7069;18,172
17,7169;18,301
17,7269;16,856
17,7368;14,885
17,7468;14,482
17,7568;15,287
17,7667;15,731
17,7767;16,604
17,7867;17,599
17,7966;18,444
17,8066;18,901
17,8166;19,815
17,8266;18,642
17,8365;17,551
17,8465;17,927
17,8565;17,271
17,8664;16,801
17,8764;17,265
17,8864;18,124
17,8963;18,772
17,9063;19,734
17,9163;20,034
17,9263;18,534
17,9362;16,706
17,9462;13,841
17,9562;12,034
17,9661;12,539
17,9761;13,03
17,9861;13,65
17,996;14,843
18,006;16,467
18,016;16,712
18,026;16,133
18,0359;17,244
18,0459;18,22
18,0559;19,474
18,0658;20,634
18,0758;20,927
18,0858;19,31
18,0957;16,467
18,1057;13,65
18,1157;12,73
18,1257;14,428
18,1356;16,454
18,1456;18,97
18,1556;21,486
18,1655;25,06
18,1755;28,299
18,1855;31,416
18,1954;29,997
18,2054;24,255
18,2154;19,829
18,2254;17,435
18,2353;17,306
18,2453;16,154
18,2553;14,831
18,2652;13,923
18,2752;13,105
18,2852;12,252
18,2952;12,082
18,3051;13,548
18,3151;15,812
18,3251;16,16
18,335;15,021
18,345;14,639
18,355;15,096
18,3649;15,143
18,3749;14,51
18,3849;15,117
18,3949;16,856
18,4048;17,892
18,4148;16,992
18,4248;16,835
18,4347;18,015
18,4447;18,54
18,4547;15,962
18,4646;15,171
18,4746;14,537
18,4846;14,598
18,4946;14,796
18,5045;13,698
18,5145;14,605
18,5245;14,734
18,5344;13,65
18,5444;14,681
18,5544;15,894
18,5643;15,805
18,5743;14,653
18,5843;13,623
18,5943;12,703
18,6042;12,007
18,6142;12,389
18,6242;12,259
18,6341;13,917
18,6441;15,819
18,6541;16,597
18,664;15,546
18,674;13,575
18,684;12,58
18,694;12,675
18,7039;14,141
18,7139;14,843
18,7239;15,969
18,7338;17,442
18,7438;17,006
18,7538;16,024
18,7637;15,71
18,7737;15,6
18,7837;16,911
18,7937;19,256
18,8036;19,331
18,8136;16,562
18,8236;16,773
18,8335;17,858
18,8435;17,599
18,8535;16,317
18,8634;15,662
18,8734;15,771
18,8834;15,457
18,8934;15,901
18,9033;18,247
18,9133;17,715
18,9233;17,142
18,9332;13,698
18,9432;12,239
18,9532;13,767
18,9631;14,919
18,9731;15,621
18,9831;16,29
18,9931;18,104
19,003;19,713
19,013;19,467
19,023;17,49
19,0329;17,251
19,0429;18,581
19,0529;18,813
19,0629;18,738
19,0728;19,597
19,0828;20,422
19,0928;18,274
19,1027;16,126
19,1127;16,604
19,1227;18,717
19,1326;20,681
19,1426;22,038
19,1526;21,309
19,1626;20,327
19,1725;18,847
19,1825;18,151
19,1925;17,128
19,2024;15,124
19,2124;13,589
19,2224;13,848
19,2323;14,905
19,2423;15,553
19,2523;15,757
19,2623;17,463
19,2722;19,031
19,2822;19,986
19,2922;20,654
19,3021;20,764
19,3121;18,765
19,3221;16,876
19,332;17,578
19,342;18,547
19,352;19,958
19,362;20,947
19,3719;19,195
19,3819;16,726
19,3919;16,971
19,4018;16,78
19,4118;16,773
19,4218;17,183
19,4317;16,085
19,4417;15,587
19,4517;15,717
19,4617;16,528
19,4716;18,287
19,4816;19,863
19,4916;19,413
19,5015;16,658
19,5115;16,085
19,5215;17,483
19,5314;18,417
19,5414;19,829
19,5514;20,914
19,5614;22,277
19,5713;22,468
19,5813;20,872
19,5913;18,322
19,6012;16,904
19,6112;17,033
19,6212;16,283
19,6311;16,971
19,6411;17,449
19,6511;17,38
19,6611;17,23
19,671;16,726
19,681;18,315
19,691;17,62
19,7009;14,993
19,7109;15,157
19,7209;16,706
19,7308;18,335
19,7408;19,243
19,7508;19,543
19,7608;19,317
19,7707;19,393
19,7807;18,206
19,7907;15,6
19,8006;15,444
19,8106;19,536
19,8206;24,077
19,8305;24,617
19,8405;23,327
19,8505;19,713
19,8605;16,051
19,8704;14,134
19,8804;14,748
19,8904;16,869
19,9003;18,377
19,9103;19,317
19,9203;19,406
19,9303;17,654
19,9402;16,351
19,9502;16,324
19,9602;17,749
19,9701;17,701
19,9801;16,044
19,9901;17,163
20;21,997
20,01;21,486
20,02;18,063
20,03;18,158
20,0399;19,297
20,0499;19,686
20,0599;19,079
20,0698;17,061
20,0798;15,376
20,0898;15,683
20,0997;17,585
20,1097;22,032
20,1197;27,03
20,1297;24,827
20,1396;20,681
20,1496;17,68
20,1596;15,355
20,1695;15,014
20,1795;15,028
20,1895;15,226
20,1994;20,3
20,2094;20,64
20,2194;18,888
20,2294;19,222
20,2393;19,672
20,2493;20,06
20,2593;20,94
20,2692;21,493
20,2792;20,367
20,2892;19,631
20,2991;16,856
20,3091;15,901
20,3191;17,373
20,3291;19,153
20,339;18,472
20,349;17,08
20,359;16,454
20,3689;16,685
20,3789;17,292
20,3889;20,06
20,3988;19,597
20,4088;16,856
20,4188;17,285
20,4288;18,472
20,4387;19,27
20,4487;19,536
20,4587;18,431
20,4686;18,853
20,4786;21,125
20,4886;18,97
20,4985;16,174
20,5085;16,399
20,5185;15,621
20,5285;14,23
20,5384;13,862
20,5484;14,674
20,5584;16,378
20,5683;18,008
20,5783;18,622
20,5883;18,042
20,5982;15,41
20,6082;16,18
20,6182;17,96
20,6282;18,765
20,6381;19,897
20,6481;20,681
20,6581;20,688
20,668;17,763
20,678;15,293
20,688;16,201
20,6979;18,758
20,7079;19,372
20,7179;19,27
20,7279;19,706
20,7378;19,563
20,7478;19,774
20,7578;22,114
20,7677;25,407
20,7777;24,33
20,7877;20,027
20,7976;17,98
20,8076;18,342
20,8176;18,663
20,8276;19,522
20,8375;20,538
20,8475;20,647
20,8575;19,147
20,8674;16,501
20,8774;15,737
20,8874;15,055
20,8974;15,014
20,9073;18,37
20,9173;22,925
20,9273;26,526
20,9372;27,154
20,9472;24,767
20,9572;21,309
20,9671;18,772
20,9771;18,349
20,9871;19,693
20,9971;20,627
21,007;20,974
21,017;18,594
21,027;17,511
21,0369;18,534
21,0469;20,347
21,0569;20,859
21,0668;20,088
21,0768;18,567
21,0868;19,031
21,0968;22,004
21,1067;25,339
21,1167;26,15
21,1267;22,038
21,1366;18,874
21,1466;17,49
21,1566;16,14
21,1665;14,967
21,1765;16,099
21,1865;20,354
21,1965;21,868
21,2064;21,568
21,2164;19,617
21,2264;17,49
21,2363;17,408
21,2463;18,356
21,2563;19,086
21,2662;18,744
21,2762;17,019
21,2862;17,585
21,2962;17,19
21,3061;19,079
21,3161;21,602
21,3261;21,404
21,336;20,668
21,346;21,221
21,356;19,795
21,3659;17,708
21,3759;16,754
21,3859;17,83
21,3959;16,992
21,4058;15,45
21,4158;15,887
21,4258;17,83
21,4357;19,815
21,4457;24,712
21,4557;26,792
21,4656;24,957
21,4756;21,99
21,4856;19,706
21,4956;21,438
21,5055;23,246
21,5155;20,367
21,5255;17,067
21,5354;15,546
21,5454;15,744
21,5554;17,394
21,5653;17,271
21,5753;18,192
21,5853;16,31
21,5953;15,874
21,6052;19,467
21,6152;24,419
21,6252;26,854
21,6351;26,192
21,6451;23,532
21,6551;22,339
21,665;22,08
21,675;17,994
21,685;15,035
21,695;16,154
21,7049;17,326
21,7149;19,072
21,7249;21,131
21,7348;22,489
21,7448;24,48
21,7548;24,767
21,7647;20,654
21,7747;17,572
21,7847;17,947
21,7947;18,991
21,8046;19,453
21,8146;20,395
21,8246;18,329
21,8345;15,737
21,8445;14,721
21,8545;14,414
21,8645;16,821
21,8744;22,011
21,8844;20,933
21,8944;17,749
21,9043;18,077
21,9143;18,335
21,9243;18,492
21,9342;18,834
21,9442;19,536
21,9542;16,63
21,9642;15,055
21,9741;17,006
21,9841;19,802
21,9941;19,693
22,004;19,85
22,014;19,017
22,024;16,849
22,0339;15,826
22,0439;15,124
22,0539;15,035
22,0639;15,342
22,0738;14,864
22,0838;15,041
22,0938;17,149
22,1037;18,779
22,1137;18,39
22,1237;16,604
22,1336;16,617
22,1436;17,456
22,1536;18,444
22,1636;19,017
22,1735;21,247
22,1835;21,309
22,1935;19,141
22,2034;18,963
22,2134;17,449
22,2234;16,399
22,2333;16,18
22,2433;16,03
22,2533;15,744
22,2633;16,733
22,2732;20,027
22,2832;21,602
22,2932;21,766
22,3031;20,429
22,3131;17,306
22,3231;16,406
22,333;17,306
22,343;21,657
22,353;23,484
22,363;20,681
22,3729;20,211
22,3829;21,227
22,3929;23,812
22,4028;23,812
22,4128;21,09
22,4228;21,131
22,4327;21,95
22,4427;21,05
22,4527;16,773
22,4627;12,968
22,4726;9,661
22,4826;8,603
22,4926;8,004
22,5025;7,397
22,5125;6,319
22,5225;5,821
22,5324;6,19
22,5424;6,23
22,5524;6,087
22,5624;6,292
22,5723;5,29
22,5823;3,25
22,5923;2,003
22,6022;1,239
22,6122;0,761
22,6222;0,482
22,6321;0,331
22,6421;0,216
22,6521;0,154
22,6621;0,14
22,672;0,093
