X;Force
 M;Newtons
3,5693;13,494
3,5793;11,959
3,5892;12,409
3,5992;13,807
3,6092;14,182
3,6191;15,949
3,6291;18,779
3,6391;18,52
3,6491;17,149
3,659;13,998
3,669;12,287
3,679;13,862
3,6889;15,471
3,6989;16,869
3,7089;18,227
3,7189;18,458
3,7288;17,408
3,7388;17,858
3,7488;20,886
3,7587;23,71
3,7687;18,936
3,7787;12,096
3,7886;7,956
3,7986;8,324
3,8086;9,845
3,8186;11,175
3,8285;11,564
3,8385;11,754
3,8485;12,484
3,8584;14,755
3,8684;19,079
3,8784;23,744
3,8883;26,914
3,8983;29,697
3,9083;30,365
3,9183;28,17
3,9282;22,297
3,9382;19,072
3,9482;18,499
3,9581;16,644
3,9681;14,482
3,9781;14,196
3,988;13,391
3,998;11,837
4,008;11,407
4,018;12,763
4,0279;13,61
4,0379;14,843
4,0479;19,256
4,0578;17,777
4,0678;16,085
4,0778;16,876
4,0877;17,633
4,0977;17,176
4,1077;16,863
4,1177;16,74
4,1276;16,133
4,1376;15,417
4,1476;16,112
4,1575;18,984
4,1675;18,165
4,1775;13,534
4,1874;10,821
4,1974;10,65
4,2074;12,204
4,2174;13,739
4,2273;14,741
4,2373;15,342
4,2473;14,66
4,2572;14,039
4,2672;15
4,2772;16,262
4,2871;18,206
4,2971;17,108
4,3071;14,08
4,3171;11,775
4,327;10,997
4,337;13,105
4,347;15,949
4,3569;17,435
4,3669;17,108
4,3769;16,221
4,3868;15,56
4,3968;15,464
4,4068;14,783
4,4168;14,687
4,4267;15,669
4,4367;14,796
4,4467;12,3
4,4566;10,997
4,4666;13,617
4,4766;17,68
4,4865;19,4
4,4965;19,563
4,5065;20,702
4,5165;21,288
4,5264;18,308
4,5364;17,858
4,5464;19,897
4,5563;18,943
4,5663;14,796
4,5763;11,734
4,5863;9,381
4,5962;8,924
4,6062;10,145
4,6162;11,945
4,6261;14,046
4,6361;14,891
4,6461;15,847
4,656;16,617
4,666;13,391
4,676;11,1
4,686;10,718
4,6959;10,704
4,7059;9,974
4,7159;9,572
4,7258;10,473
4,7358;14,633
4,7458;14,667
4,7557;14,06
4,7657;15,6
4,7757;17,223
4,7857;15,99
4,7956;15,164
4,8056;17,094
4,8156;18,656
4,8255;16,549
4,8355;15,035
4,8455;17,394
4,8554;18,867
4,8654;18,56
4,8754;18,437
4,8854;17,687
4,8953;15,6
4,9053;13,787
4,9153;13,719
4,9252;14,074
4,9352;13,903
4,9452;14,633
4,9551;15,457
4,9651;15,233
4,9751;15,117
4,9851;14,933
4,995;15,826
5,005;17,524
5,015;18,124
5,0249;18,022
5,0349;17,278
5,0449;15,805
5,0548;16,467
5,0648;18,894
5,0748;21,65
5,0848;21,957
5,0947;19,42
5,1047;17,013
5,1147;16,842
5,1246;16,16
5,1346;15,014
5,1446;16,105
5,1545;17,04
5,1645;17,299
5,1745;17,599
5,1845;18,185
5,1944;17,804
5,2044;18,315
5,2144;16,985
5,2243;13,794
5,2343;11,994
5,2443;13,596
5,2542;18,137
5,2642;22,195
5,2742;22,646
5,2842;21,773
5,2941;21,99
5,3041;21,288
5,3141;22,209
5,324;21,016
5,334;20,859
5,344;18,663
5,3539;15,069
5,3639;12,089
5,3739;10,377
5,3839;10,93
5,3938;12,047
5,4038;12,477
5,4138;12,451
5,4237;11,25
5,4337;10,875
5,4437;11,843
5,4536;14,176
5,4636;15,683
5,4736;16,064
5,4836;15,396
5,4935;13,22
5,5035;11,052
5,5135;10,828
5,5234;12,601
5,5334;15,444
5,5434;17,163
5,5534;18,601
5,5633;18,486
5,5733;18,465
5,5833;19,46
5,5932;20,866
5,6032;19,167
5,6132;17,415
5,6231;15,219
5,6331;13,705
5,6431;13,896
5,6531;16,228
5,663;17,237
5,673;17,68
5,683;17,783
5,6929;17,661
5,7029;16,678
5,7129;16,092
5,7228;17,326
5,7328;15,826
5,7428;13,016
5,7528;11,693
5,7627;13,617
5,7727;15,901
5,7827;17,599
5,7926;19,55
5,8026;22,134
5,8126;23,661
5,8225;20,197
5,8325;17,04
5,8425;16,549
5,8525;15,69
5,8624;12,396
5,8724;10,8
